message;severity;node;stamp;topics;location
"Translation of transform 0 is 7.000000, -1.000000";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"warping grids";"1";"/map_merge";"74.161000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:175"
"Map merging started.";"1";"/map_merge";"74.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:152"
"current flag test and set was false";"1";"/map_merge";"74.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"74.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"current flag test and set was false";"1";"/map_merge";"73.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"73.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"72.797000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Origin of updated grid -10.000000, -10.000000";"1";"/map_merge";"72.425000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::fullMapUpdate:233"
"Merged map origin 0.000000, 0.000000";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:186"
"all maps merged, publishing";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:181"
"Complete corner 7, 1 width 384 and height 384";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Complete corner -7, 1 width 384 and height 384";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:209"
"Corner 7, 1 width 384 and height 384";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"Corner -7, 1 width 384 and height 384";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/grid_compositor.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::internal::GridCompositor::compose:61"
"compositing result grid";"1";"/map_merge";"72.156000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:196"
"Translation of transform 1 is -7.000000, -1.000000";"1";"/map_merge";"72.155000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"Translation of transform 0 is 7.000000, -1.000000";"1";"/map_merge";"72.155000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:184"
"warping grids";"1";"/map_merge";"72.154000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/combine_grids/merging_pipeline.cpp:OccupancyGrid_<std::allocator<void> >::Ptr combine_grids::MergingPipeline::composeGrids:175"
"Map merging started.";"1";"/map_merge";"72.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::mapMerging:152"
"current flag test and set was false";"1";"/map_merge";"72.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
"Publishing tf";"1";"/map_merge";"72.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::executeposePublishTf:404"
"current flag test and set was false";"1";"/map_merge";"71.000000000";"/map,/rosout,/tf";"/home/yubiyubi/catkin_ws/src/m-explore/map_merge/src/map_merge.cpp:MapMerge::publishTF:420"
